metric,value
nota_media_1_10,10.0
nota_minima_1_10,10
nota_maxima_1_10,10
solicitacoes_avaliadas_1_10,20
solicitacoes_com_nota_9_ou_10,20
solicitacoes_com_nota_10,20
taxa_nota_9_ou_10,1.0
taxa_nota_10,1.0
latency_ms_avg,1.08
latency_ms_p50,1.09
latency_ms_p95,1.37
estimated_tokens_avg,142.1
estimated_tokens_total,2842
estimated_cost_usd_mock,0.0
sensitive_block_precision_proxy,1.0
false_block_rate,0.0
unsafe_output_rate,0.0
error_rate,0.0
fallback_rate_mock,0.0
observability_ready,True
